"name","weekday","income"
Sylvia Panteley,Wednesday,85876351
Abraham Bennet,Thursday ,226133921
Albert Ringer,Thursday ,405676715
Ann Dull,Thursday ,36627442
Anne Ringer,Thursday ,55678731
Burt Gringlesby,Thursday ,103250742
Charlene Locksley,Thursday ,102081558
Cheryl Carson,Thursday ,70730736
Dean Straight,Thursday ,182913508
Dirk Stringer,Thursday ,693463721
Heather McBadden,Thursday ,289587876
Innes del Castillo,Thursday ,247744631
Johnson White,Thursday ,91715665
Livia Karsen,Thursday ,168820566
Marjorie Green,Thursday ,90204716
Meander Smith,Thursday ,56688841
Michael O'Leary,Thursday ,130193803
Michel DeFrance,Thursday ,481154817
Morningstar Greene,Thursday ,61407062
Reginald Blotchet-Halls,Thursday ,89971578
Sheryl Hunter,Thursday ,148434253
Stearns MacFeather,Thursday ,22585497
Sylvia Panteley,Thursday ,91590683
Abraham Bennet,Friday   ,233935361
Albert Ringer,Friday   ,357492149
Ann Dull,Friday   ,37433122
Anne Ringer,Friday   ,51753352
Burt Gringlesby,Friday   ,109360163
Charlene Locksley,Friday   ,97761375
Cheryl Carson,Friday   ,80473505
Dean Straight,Friday   ,176048825
Dirk Stringer,Friday   ,672023524
Heather McBadden,Friday   ,245868794
Innes del Castillo,Friday   ,231816498
Johnson White,Friday   ,91757930
Livia Karsen,Friday   ,172939429
Marjorie Green,Friday   ,99954937
Meander Smith,Friday   ,53551958
Michael O'Leary,Friday   ,142326764
Michel DeFrance,Friday   ,473980679
Morningstar Greene,Friday   ,62929145
Reginald Blotchet-Halls,Friday   ,96796982
Sheryl Hunter,Friday   ,158669557
Stearns MacFeather,Friday   ,28022436
Sylvia Panteley,Friday   ,91390801
Abraham Bennet,Saturday ,219357051
Albert Ringer,Saturday ,359055422
Ann Dull,Saturday ,37658782
Anne Ringer,Saturday ,48579238
Burt Gringlesby,Saturday ,108212069
Charlene Locksley,Saturday ,100507642
Cheryl Carson,Saturday ,69224918
Dean Straight,Saturday ,176094744
Dirk Stringer,Saturday ,724561952
Heather McBadden,Saturday ,260891531
Innes del Castillo,Saturday ,245765313
Johnson White,Saturday ,91955960
Livia Karsen,Saturday ,142421335
Marjorie Green,Saturday ,95303143
Meander Smith,Saturday ,53094398
Michael O'Leary,Saturday ,131118669
Michel DeFrance,Saturday ,480574641
Morningstar Greene,Saturday ,64598715
Reginald Blotchet-Halls,Saturday ,92451664
Sheryl Hunter,Saturday ,143802265
Stearns MacFeather,Saturday ,27623848
Sylvia Panteley,Saturday ,87097890
Abraham Bennet,Sunday   ,232328748
Albert Ringer,Sunday   ,362985487
Ann Dull,Sunday   ,34138288
Anne Ringer,Sunday   ,49050829
Burt Gringlesby,Sunday   ,112782281
Charlene Locksley,Sunday   ,93745117
Cheryl Carson,Sunday   ,69553596
Dean Straight,Sunday   ,176873006
Dirk Stringer,Sunday   ,698820601
Heather McBadden,Sunday   ,266458385
Innes del Castillo,Sunday   ,244679492
Johnson White,Sunday   ,88933984
Livia Karsen,Sunday   ,137975385
Marjorie Green,Sunday   ,104815534
Meander Smith,Sunday   ,56678280
Michael O'Leary,Sunday   ,125981635
Michel DeFrance,Sunday   ,438321489
Morningstar Greene,Sunday   ,68473054
Reginald Blotchet-Halls,Sunday   ,80496473
Sheryl Hunter,Sunday   ,148514539
Stearns MacFeather,Sunday   ,27431435
Sylvia Panteley,Sunday   ,95337213
Akiko Yokomoto,,
